"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-207","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Stethoscope symbol","Símbolo de estetoscopio",""
"csc-208","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Stethoscope","Estetoscopio",""
"csc-209","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","p","DRAFT","El sistema no decora. Sostiene.","El sistema no decora. Sostiene.",""
"csc-210","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Visual production library","Biblioteca de producción visual",""
"csc-211","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","h3","DRAFT","Eventually, even the imagery became a system","Con el tiempo, hasta la imagen se volvió un sistema",""
"csc-212","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","p","DRAFT","Assets were named and organized with formats, tags, transformations, and production references. New publishing could begin from a shared visual language rather than from zero.","Los recursos se nombraron y organizaron con formatos, etiquetas, transformaciones y referencias de producción. Cada nueva publicación podía partir de un lenguaje visual compartido, no de cero.",""
"csc-213","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","div [aria-label]","DRAFT","Imagery progression","Progresión de la imagen",""
"csc-214","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Image","Imagen",""
"csc-215","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Art direction","Dirección de arte",""
"csc-216","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Visual language","Lenguaje visual",""
"csc-217","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Production library","Biblioteca de producción",""
"csc-218","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","div [aria-label]","DRAFT","Production library fragments","Fragmentos de la biblioteca de producción",""
"csc-219","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Sueño illustration at editorial distance","Ilustración de Sueño a distancia editorial",""
"csc-220","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Cine","Cine",""
"csc-221","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Editorial distance · Sueño","Distancia editorial · Sueño",""
"csc-222","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Sueño illustration at doodle distance","Ilustración de Sueño a distancia de boceto",""
"csc-223","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Foto","Foto",""
"csc-224","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Doodle distance · Sueño","Distancia de boceto · Sueño",""
"csc-225","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Sueño illustration at pin distance","Ilustración de Sueño a distancia de pin",""
"csc-226","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Pin","Pin",""
"csc-227","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Compact mark · Sueño","Marca compacta · Sueño",""
"csc-228","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Open-hand symbol from the Criar Sin Culpas symbol set","Símbolo de mano abierta del set de símbolos de Criar Sin Culpas",""
"csc-229","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Símbolo","Símbolo",""
"csc-230","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","System glyph · reusable","Glifo del sistema · reutilizable",""
"csc-231","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","p","DRAFT","One drawing, four distances · then named, tagged, and filed for production.","Un dibujo, cuatro distancias · luego nombrado, etiquetado y archivado para producción.",""
