"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-434","changed","10 · WHAT CHANGED","span","DRAFT","What actually changed","Lo que realmente cambió",""
"csc-435","changed","10 · WHAT CHANGED","h2","DRAFT","What exists now that did not exist before","Lo que existe ahora y antes no existía",""
"csc-436","changed","10 · WHAT CHANGED","p","DRAFT","This is a living practice, not a finished portfolio artifact. Some capabilities are operating now. Others are architected, implementing, or still waiting to be validated.","Esta es una práctica viva, no un artefacto de portafolio terminado. Algunas capacidades ya están operando. Otras están arquitectadas, en implementación, o aún esperando validarse.",""
"csc-437","changed","10 · WHAT CHANGED","p","DRAFT","The behavioral evidence, summarized","La evidencia de comportamiento, resumida",""
"csc-438","changed","10 · WHAT CHANGED","p","DRAFT","Pantallas visitors","Visitantes de Pantallas",""
"csc-439","changed","10 · WHAT CHANGED","p","DRAFT","Strongest protocol entry point · 72% average scroll","Punto de entrada más fuerte a los protocolos · 72% de scroll promedio",""
"csc-440","changed","10 · WHAT CHANGED","p","DRAFT","108 sec","108 seg",""
"csc-441","changed","10 · WHAT CHANGED","p","DRAFT","Desbordes attention","Atención en Desbordes",""
"csc-442","changed","10 · WHAT CHANGED","p","DRAFT","41 visitors · 79% average scroll","41 visitantes · 79% de scroll promedio",""
"csc-443","changed","10 · WHAT CHANGED","p","DRAFT","Portal entries","Entradas al portal",""
"csc-444","changed","10 · WHAT CHANGED","p","DRAFT","Unique visitors · approximately 30% of the reporting audience","Visitantes únicos · aproximadamente 30% de la audiencia del reporte",""
"csc-445","changed","10 · WHAT CHANGED","p","DRAFT","Language changes","Cambios de idioma",""
"csc-446","changed","10 · WHAT CHANGED","p","DRAFT","Unique visitors actively using the bilingual experience","Visitantes únicos que usan activamente la experiencia bilingüe",""
"csc-447","changed","10 · WHAT CHANGED","p","DRAFT","Plausible Analytics · May 22–August 20, 2026 · 223 total visitors","Plausible Analytics · 22 de mayo–20 de agosto, 2026 · 223 visitantes totales",""
"csc-448","changed","10 · WHAT CHANGED","div [aria-label]","DRAFT","What the experience validated and what remains unproven","Lo que la experiencia validó y lo que aún no está probado",""
"csc-449","changed","10 · WHAT CHANGED","p","DRAFT","What the experience validated","Lo que la experiencia validó",""
"csc-450","changed","10 · WHAT CHANGED","h3","DRAFT","The support content earned attention","El contenido de apoyo ganó atención",""
"csc-451","changed","10 · WHAT CHANGED","p","DRAFT","Protocol visitors showed strong scroll depth, sustained attention on Desbordes, movement into the portal, and active use of the bilingual experience.","Los visitantes de los protocolos mostraron una fuerte profundidad de scroll, atención sostenida en Desbordes, movimiento hacia el portal y uso activo de la experiencia bilingüe.",""
"csc-452","changed","10 · WHAT CHANGED","p","DRAFT","What remains unproven","Lo que aún no está probado",""
"csc-453","changed","10 · WHAT CHANGED","h3","DRAFT","Distribution has not caught up","La distribución todavía no llegó",""
"csc-454","changed","10 · WHAT CHANGED","p","DRAFT","Of 223 visitors, 208 arrived through Direct/None. Instagram contributed 9 visitors, while Google and Bing contributed 2 combined. Early traffic remained concentrated within an existing network.","De 223 visitantes, 208 llegaron por Directo/Ninguno. Instagram aportó 9 visitantes, mientras que Google y Bing aportaron 2 en conjunto. El tráfico temprano se mantuvo concentrado dentro de una red existente.",""
"csc-455","changed","10 · WHAT CHANGED","p","DRAFT","The early evidence validated the support experience, not yet its distribution.","La evidencia temprana validó la experiencia de apoyo, no todavía su distribución.",""
"csc-456","changed","10 · WHAT CHANGED","p","DRAFT","What the engagement changed structurally","Lo que el trabajo cambió estructuralmente",""
"csc-457","changed","10 · WHAT CHANGED","h3","DRAFT","From presence-dependent expertise to governed support pathways","De un conocimiento ligado a la presencia a rutas de apoyo con reglas claras",""
"csc-458","changed","10 · WHAT CHANGED","p","DRAFT","The work did not remove Nari from the center of the practice. It changed how her expertise could be organized, delivered, and developed beyond a single interaction.","El trabajo no desplazó a Nari del centro de la práctica. Cambió la manera en que su conocimiento podía organizarse, entregarse y desarrollarse más allá de una sola interacción.",""
"csc-459","changed","10 · WHAT CHANGED","p","DRAFT","Before the engagement","Antes del trabajo",""
"csc-460","changed","10 · WHAT CHANGED","p","DRAFT","What the engagement established","Lo que el trabajo estableció",""
"csc-461","changed","10 · WHAT CHANGED","p","DRAFT","Expertise concentrated in Nari’s direct presence","El conocimiento dependía de la presencia directa de Nari",""
"csc-462","changed","10 · WHAT CHANGED","p","DRAFT","Expertise translated into governed support pathways","Ese conocimiento se tradujo en rutas de apoyo con reglas claras",""
"csc-463","changed","10 · WHAT CHANGED","p","DRAFT","Support dispersed across social posts and messages","El apoyo estaba disperso entre publicaciones y mensajes",""
