"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-154","brand-lineage","04 · THE LEARNED IDENTITY","li","DRAFT","Historical lineage","Linaje histórico",""
"csc-155","brand-lineage","04 · THE LEARNED IDENTITY","li","DRAFT","Migration rules","Reglas de migración",""
"csc-156","brand-lineage","04 · THE LEARNED IDENTITY","li","DRAFT","Unresolved boundaries","Límites sin resolver",""
"csc-157","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","INTERNAL · System of Record · Protected operating artifact","INTERNO · Sistema de Registro · Artefacto operativo protegido",""
"csc-158","brand-lineage","04 · THE LEARNED IDENTITY","span","DRAFT","External","Externo",""
"csc-159","brand-lineage","04 · THE LEARNED IDENTITY","h3","DRAFT","Public Brand System","Sistema de Marca Público",""
"csc-160","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","The public system translates that truth into voice, typography, imagery, illustration, and implementation guidance.","El sistema público traduce esa verdad en voz, tipografía, imagen, ilustración y guía de implementación.",""
"csc-161","brand-lineage","04 · THE LEARNED IDENTITY","img [alt]","DRAFT","Current public Brand System palette on criarsinculpas.com/brand","Paleta actual del Sistema de Marca público en criarsinculpas.com/brand",""
"csc-162","brand-lineage","04 · THE LEARNED IDENTITY","li","DRAFT","Brand story","Historia de marca",""
"csc-163","brand-lineage","04 · THE LEARNED IDENTITY","li","DRAFT","Voice &amp;amp; principles","Voz y principios",""
"csc-164","brand-lineage","04 · THE LEARNED IDENTITY","li","DRAFT","Color &amp;amp; type","Color y tipografía",""
"csc-165","brand-lineage","04 · THE LEARNED IDENTITY","li","DRAFT","Photography &amp;amp; illustration","Fotografía e ilustración",""
"csc-166","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","SHIPPED · criarsinculpas.com/brand · Warm Earth","PUBLICADO · criarsinculpas.com/brand · Warm Earth",""
