"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-272","support","06 · OWNED SUPPORT","p","DRAFT","OVER TIME","CON EL TIEMPO",""
"csc-273","support","06 · OWNED SUPPORT","h4","DRAFT","Deeper support","Apoyo más profundo",""
"csc-274","support","06 · OWNED SUPPORT","p","DRAFT","Deeper support creates continuity for needs that cannot be solved by an article or protocol alone.","El apoyo más profundo crea continuidad para necesidades que un artículo o un protocolo por sí solos no pueden resolver.",""
"csc-275","support","06 · OWNED SUPPORT","p","DRAFT","Agresión · Ansiedad · Límites","Agresión · Ansiedad · Límites",""
"csc-276","support","06 · OWNED SUPPORT","p","DRAFT","Next layer · Structured support · not yet shipped","Siguiente capa · Apoyo estructurado · aún no publicado",""
"csc-277","support","06 · OWNED SUPPORT","h3","DRAFT","C · Pathway","C · Ruta",""
"csc-278","support","06 · OWNED SUPPORT","span","DRAFT","REAL QUESTION","PREGUNTA REAL",""
"csc-279","support","06 · OWNED SUPPORT","span","DRAFT","PUBLISHED RESPONSE","RESPUESTA PUBLICADA",""
"csc-280","support","06 · OWNED SUPPORT","span","DRAFT","SIGNAL","SEÑAL",""
"csc-281","support","06 · OWNED SUPPORT","span","DRAFT","OWNED SUPPORT","APOYO PROPIO",""
"csc-282","support","06 · OWNED SUPPORT","span","DRAFT","PRODUCT LEARNING","APRENDIZAJE DE PRODUCTO",""
