"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-283","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","From protocol to product signal","Del protocolo a la señal de producto",""
"csc-284","product-signal","07 · WHAT BEHAVIOR TAUGHT","h2","DRAFT","I built the protocols as interventions. [line break] Behavior revealed they were also product tests","Construí los protocolos como intervenciones. [line break] El comportamiento reveló que también eran pruebas de producto",""
"csc-285","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Protocols were both interventions and product tests. They showed what parents reached for first, what language helped, and where immediate relief needed to become continued support.","Los protocolos fueron a la vez intervenciones y pruebas de producto. Mostraron qué buscaban primero las familias, qué lenguaje ayudaba y dónde el alivio inmediato necesitaba convertirse en apoyo continuo.",""
"csc-286","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Evidence / Product signal","Evidencia [line break] Señal de producto",""
"csc-287","product-signal","07 · WHAT BEHAVIOR TAUGHT","h3","DRAFT","The strongest value was not more content. It was practical relief, navigable language, and continuity","El valor más fuerte no fue más contenido. Fue alivio práctico, lenguaje navegable y continuidad",""
"csc-288","product-signal","07 · WHAT BEHAVIOR TAUGHT","p [aria-label]","DRAFT","From use to product change","Del uso al cambio de producto",""
"csc-289","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Use","Usar",""
"csc-290","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Observe","Observar",""
"csc-291","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Learn","Aprender",""
"csc-292","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Change","Cambiar",""
"csc-293","product-signal","07 · WHAT BEHAVIOR TAUGHT","img [alt]","DRAFT","Testing plan artifact: from protocol to product signal, distinguishing the Pantallas and Desbordes experience test from the Agresión, Ansiedad, and Límites premium cohort, ending in a support-ecosystem decision.","Artefacto del plan de prueba: del protocolo a la señal de producto, distinguiendo la prueba de experiencia de Pantallas y Desbordes de la cohorte premium de Agresión, Ansiedad y Límites, terminando en una decisión de entramado de apoyo.",""
"csc-294","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","EVIDENCE","EVIDENCIA",""
"csc-295","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Testing plan · Free support experience → signals → deeper structured offer","Plan de prueba · Experiencia de apoyo gratuita → señales → oferta estructurada más profunda",""
"csc-296","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Behavioral evidence","Evidencia de comportamiento",""
