"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-380","product","10 · From support to product","span","DRAFT","From support to product","Del apoyo al producto",""
"csc-381","product","10 · From support to product","h2","DRAFT","Support needed more than content. [line break] It needed a path into continued care","El apoyo necesitaba más que contenido. [line break] Necesitaba un camino hacia el cuidado continuo",""
"csc-382","product","10 · From support to product","p","DRAFT","I architected the connection between free public resources, a calmer learning environment, targeted access, and membership. The value on offer is not premium content for its own sake. It is navigation, preparation, and continuity.","Diseñé la arquitectura que conecta los recursos públicos gratuitos, un entorno de aprendizaje más calmado, el acceso puntual y la membresía. El valor que se ofrece no es contenido premium por sí mismo. Es navegación, preparación y continuidad.",""
"csc-383","product","10 · From support to product","div [aria-label]","DRAFT","Three-layer product model","Modelo de producto de tres capas",""
"csc-384","product","10 · From support to product","p","DRAFT","Public resources","Recursos públicos",""
"csc-385","product","10 · From support to product","p","DRAFT","Free and genuinely useful.","Gratuitos y genuinamente útiles.",""
"csc-386","product","10 · From support to product","p","DRAFT","El Estudio","El Estudio",""
"csc-387","product","10 · From support to product","p","DRAFT","A calmer, more continuous support environment.","Un entorno de apoyo más calmado y continuo.",""
"csc-388","product","10 · From support to product","p","DRAFT","Access architecture","Arquitectura de acceso",""
"csc-389","product","10 · From support to product","p","DRAFT","Access Pass · targeted / one-time · Membership · continuous support","Access Pass · dirigido [line break] de un solo uso · Membresía · apoyo continuo",""
"csc-390","product","10 · From support to product","div [aria-label]","DRAFT","Experience principle","Principio de experiencia",""
"csc-391","product","10 · From support to product","span","DRAFT","Understand what is happening","Entender qué está pasando",""
"csc-392","product","10 · From support to product","span","DRAFT","Decide what matters now","Decidir qué importa ahora",""
"csc-393","product","10 · From support to product","span","DRAFT","Take one useful next step","Dar un próximo paso útil",""
"csc-394","product","10 · From support to product","p","DRAFT","Architecture → Infrastructure","Arquitectura → Infraestructura",""
"csc-395","product","10 · From support to product","img [alt]","DRAFT","Product architecture diagram showing public resources, El Estudio, and access layers as a designed support system","Diagrama de arquitectura de producto mostrando recursos públicos, El Estudio y capas de acceso como un sistema de apoyo diseñado",""
"csc-396","product","10 · From support to product","span","DRAFT","ARCHITECTED","ARQUITECTADO",""
"csc-397","product","10 · From support to product","p","DRAFT","Product architecture · Access layers made legible","Arquitectura de producto · Capas de acceso hechas legibles",""
"csc-398","product","10 · From support to product","img [alt]","DRAFT","Protected access and account infrastructure · identity, client, and workspace layers for continuing the work","Acceso protegido e infraestructura de cuenta · capas de identidad, cliente y espacio de trabajo para continuar el trabajo",""
"csc-399","product","10 · From support to product","span","DRAFT","IMPLEMENTING","EN IMPLEMENTACIÓN",""
"csc-400","product","10 · From support to product","p","DRAFT","Access infrastructure · Authentication and protected continuity","Infraestructura de acceso · Autenticación y continuidad protegida",""
"csc-401","product","10 · From support to product","p","DRAFT","Member environment · In implementation","Entorno de miembros · En implementación",""
"csc-402","product","10 · From support to product","p","DRAFT","El Estudio taking form","El Estudio tomando forma",""
"csc-403","product","10 · From support to product","img [alt]","DRAFT","El Estudio member environment in implementation · Access, El Estudio, and architecture as one composition taking form","Entorno de miembros de El Estudio en implementación · Acceso, El Estudio y arquitectura como una sola composición tomando forma",""
"csc-404","product","10 · From support to product","span","DRAFT","IMPLEMENTING","EN IMPLEMENTACIÓN",""
"csc-405","product","10 · From support to product","p","DRAFT","El Estudio · Access → Member environment → Learning experience","El Estudio · Acceso → Entorno de miembros → Experiencia de aprendizaje",""
"csc-406","product","10 · From support to product","p","DRAFT","Current state","Estado actual",""
"csc-407","product","10 · From support to product","span","DRAFT","SHIPPED","PUBLICADO",""
"csc-408","product","10 · From support to product","h3","DRAFT","Shipped","PUBLICADO",""
"csc-409","product","10 · From support to product","li","DRAFT","Public bilingual platform","Plataforma pública bilingüe",""
"csc-410","product","10 · From support to product","li","DRAFT","Four public protocols: Pantallas, Desbordes, Sueño, and Hermanos","Cuatro protocolos públicos: Pantallas, Desbordes, Sueño y Hermanos",""
"csc-411","product","10 · From support to product","li","DRAFT","Editorial surface","Superficie editorial",""
"csc-412","product","10 · From support to product","li","DRAFT","Visual and illustration systems","Sistemas visuales y de ilustración",""
"csc-413","product","10 · From support to product","li","DRAFT","Analytics instrumentation for the protocol experience","Instrumentación analítica para la experiencia de protocolo",""
"csc-414","product","10 · From support to product","span","DRAFT","ARCHITECTED","ARQUITECTADO",""
"csc-415","product","10 · From support to product","h3","DRAFT","Architected","ARQUITECTADO",""
"csc-416","product","10 · From support to product","li","DRAFT","El Estudio product model","Modelo de producto de El Estudio",""
"csc-417","product","10 · From support to product","li","DRAFT","Access and permissions","Acceso y permisos",""
"csc-418","product","10 · From support to product","li","DRAFT","Membership and monetization model","Modelo de membresía y monetización",""
"csc-419","product","10 · From support to product","li","DRAFT","Measurement model","Modelo de medición",""
